,Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma Taste Threshold Values
0,1-Aminopropan-2-ol,4,fishy,CC(CN)O,flavorDB,Aroma Threshold Values:Detection at 28 ppm in water
5,2-oxobutanoic acid,58,"brown,caramel,lactonic,sweet,creamy",CCC(=O)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; sweet, brown, creamy, caramellic with a fatty nuance"
12,4-Hydroxybenzoic Acid,135,"nutty,phenolic",C1=CC(=CC=C1C(=O)O)O,flavorDB,Aroma Threshold Values:Detection at 5 ppm (water)
13,acetic acid,176,"sour,pungent,sharp,vinegar",CC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; sour, acidic tangy"
14,acetaldehyde,177,"ethereal,ether,whiskey,pungent,fruity,aldehydic",CC=O,flavorDB,Aroma Threshold Values:27 to 380 ppb
16,acetoin,179,"butter,cream,milky,fatty,creamy,sweet,dairy,buttery",CC(C(=O)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, creamy, dairy, and butter-like"
17,acetone,180,"solvent,apple,pear,ethereal",CC(=O)C,flavorDB,Aroma Threshold Values:40 to 476 ppm
24,benzaldehyde,240,"cherry,almond,sweet,burnt sugar,sharp,strong,bitter",C1=CC=C(C=C1)C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; sweet, oily, almond, cherry, nutty and woody"
25,benzoic acid,243,"balsam,urine,faint",C1=CC=C(C=C1)C(=O)O,flavorDB,Aroma Threshold Values:85 ppm Taste threshold value:
26,benzyl alcohol,244,"berry,balsamic,rose,floral,walnut,sweet,cherry,phenolic,flower,grapefruit",C1=CC=C(C=C1)CO,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; chemical, fruity with balsamic nuances"
28,butyraldehyde,261,"bready,chocolate,creamy,pear,vegetable,fatty,earthy,woody,pungent,nutty,wine_like,meaty,spicy,citrus,herbaceous,green,apple,floral,musty,cocoa,fruity,malty",CCCC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; musty, fusel, fermented, bready and yeasty with a malty nuance"
30,1-butanol,263,"oil,vanilla,fruit,fusel,sweet,balsam,medicine,medicinal",CCCCO,flavorDB,Aroma Threshold Values:500 ppb to 509 ppm
31,butyric acid,264,"butter,sweat,acetic,sharp,rancid,fruit,cheese",CCCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 250 ppm; acidic, sour, cheesy, dairy, creamy with a fruity nuance"
32,formic acid,284,"pungent,vinegar,formyl",C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; acidic, sour and astringent with a fruity depth"
34,Aconitic Acid,309,"musty,nutty,mild",C(C(=CC(=O)O)C(=O)O)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; nutty, vegetative, musty and slightly caramellic"
35,citric acid,311,"acidic,sweet",C(C(=O)O)C(CC(=O)O)(C(=O)O)O,flavorDB,Aroma Threshold Values:9.6 to 350 ppm
36,coumarin,323,"sweet,new mown hay,green,tonka,bitter",C1=CC=C2C(=C1)C=CC(=O)O2,flavorDB,"Aroma Threshold Values:Detection at 34 to 50 ppb; recognition, 250 ppb"
38,4-isopropylbenzaldehyde,326,"spicy,acid,herbal,sharp,oily,cumin,green",CC(C)C1=CC=C(C=C1)C=O,flavorDB,Taste Threshold Values:Taste characteristics at 10 ppm
40,o-cresol,335,"phenol,musty,medicinal,phenolic",CC1=CC=CC=C1O,flavorDB,"Taste Threshold Values:Taste characteristics at 2.0 ppm; sweet medicinal, phenolic and tarlike"
42,m-cresol,342,"medical,leather,woody,fecal,phenolic,medicinal,plastic",CC1=CC(=CC=C1)O,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; phenolic, smoky, balsamic, medicinal and spicy eugenol-like"
45,octanoic acid,379,"cheesy,sweat,vegetable,waxy,fatty,rancid,oily,cheese",CCCCCCCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; creamy, waxy, dirty, sweaty, dairy cheeselike"
46,"2,5-Diaminopentanoic acid",389,"bark,green,mild",C(CC(C(=O)O)N)CN,flavorDB,Taste Threshold Values:Very mild sweet taste at 500.00 ppm in water
48,Octanal,454,"lemon,citrus,soap,orange peel,fat,waxy,fatty,aldehydic,green",CCCCCCCC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; aldehyde, green with a peely, citrus, orange note"
49,guaiacol,460,"spice,vanilla,smoky,sweet,woody,phenolic,medicine,medicinal,smoke",COC1=CC=CC=C1O,flavorDB,"Taste Threshold Values:Taste characteristics at 2.0 ppm; woody, phenolic, bacon, savory, smoky and medicinal"
52,propionaldehyde,527,"solvent,alcohol,whiskey,wine,earthy,cocoa,pungent,nutty",CCC=O,flavorDB,Aroma Threshold Values:9.5 to 35 ppb
55,lactic acid,612,acid,CC(C(=O)O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; acidic sour creamy, dairylike with a fruity mango nuance"
58,"2,3-butanedione",650,"butter,caramel,oily,creamy,sweet,pungent,strong",CC(=O)C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; sweet, buttery, creamy and milky"
61,"1,3-dihydroxyacetone",670,minty,C(C(=O)CO)O,flavorDB,Taste Threshold Values:Reported to have a taste threshold value lower than that of sucrose with a detection level of 3.9 to 27 ppm and a recognition level of 11 to 52 ppm
