Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma/Taste Threshold Values
1-Aminopropan-2-ol,4,fishy,CC(CN)O,flavorDB,Aroma Threshold Values:Detection at 28 ppm in water
2-Deoxyhexopyranose,40,sweet,C1C(C(C(OC1O)CO)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
3-Methyl-2-oxovaleric acid,47,fruit,CCC(C)C(=O)C(=O)O,flavorDB,The Aroma/Taste threshold values for3-METHYL-2-OXOPENTANOIC ACIDis unknown
3-Methyl-2-oxobutanoic acid,49,fruity,CC(C)C(=O)C(=O)O,flavorDB,The Aroma/Taste threshold values for3-METHYL-2-OXOBUTANOIC ACIDis unknown
2-ketoglutaric acid,51,odorless,C(CC(=O)O)C(=O)C(=O)O,flavorDB,The Aroma/Taste threshold values for2-OXOPENTANEDIOIC ACIDis unknown
2-oxobutanoic acid,58,"brown,caramel,lactonic,sweet,creamy",CCC(=O)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; sweet, brown, creamy, caramellic with a fatty nuance"
4-Methyl-2-oxovaleric acid,70,fruity,CC(C)CC(=O)C(=O)O,flavorDB,The Aroma/Taste threshold values for4-METHYL-2-OXOPENTANOIC ACIDis unknown
"3,4-Dihydroxybenzoic Acid",72,"phenolic,balsamic,mild",C1=CC(=C(C=C1C(=O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
3-phenylpropanoic acid,107,"balsamic,rose,fatty,sweet,musk,cinnamon",C1=CC=C(C=C1)CCC(=O)O,flavorDB,The Aroma/Taste threshold values for3-PHENYLPROPIONIC ACIDis unknown
4-aminobutyric acid,119,"savory,meaty",C(CC(=O)O)CN,flavorDB,Aroma Threshold Values:Medium strength odor
4-hydroxybenzyl alcohol,125,"coconut,bitter,sweet,fruity,almond",C1=CC(=CC=C1CO)O,flavorDB,The Aroma/Taste threshold values for4-HYDROXYBENZYL ALCOHOLis unknown
4-hydroxybenzaldehyde,126,"woody,sweet,balsam,nutty,almond",C1=CC(=CC=C1C=O)O,flavorDB,The Aroma/Taste threshold values for4-HYDROXYBENZALDEHYDEis unknown
4-Hydroxybenzoic Acid,135,"nutty,phenolic",C1=CC(=CC=C1C(=O)O)O,flavorDB,Aroma Threshold Values:Detection at 5 ppm (water)
acetic acid,176,"sour,pungent,sharp,vinegar",CC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; sour, acidic tangy"
acetaldehyde,177,"ethereal,ether,whiskey,pungent,fruity,aldehydic",CC=O,flavorDB,Aroma Threshold Values:27 to 380 ppb
acetamide,178,mousy,CC(=O)N,flavorDB,The Aroma/Taste threshold values forACETAMIDEis unknown
acetoin,179,"butter,cream,milky,fatty,creamy,sweet,dairy,buttery",CC(C(=O)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, creamy, dairy, and butter-like"
acetone,180,"solvent,apple,pear,ethereal",CC(=O)C,flavorDB,Aroma Threshold Values:40 to 476 ppm
